CUSCO|PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO	20750
CUSCO|PROGRESEMOS	4164
CUSCO|RENOVACIÓN POPULAR	32766
CUSCO|SALVEMOS AL PERÚ	1303
CUSCO|UN CAMINO DIFERENTE	1030
CUSCO|UNIDAD NACIONAL	1254
CUSCO|VOTOS EN BLANCO	98893
CUSCO|VOTOS NULOS	48800
EUROPA|AHORA NACIÓN - AN	11570
EUROPA|ALIANZA ELECTORAL VENCEREMOS	839
EUROPA|ALIANZA PARA EL PROGRESO	428
EUROPA|AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL	208
EUROPA|FE EN EL PERÚ	140
EUROPA|FUERZA POPULAR	18787
EUROPA|FUERZA Y LIBERTAD	222
EUROPA|JUNTOS POR EL PERÚ	3090
EUROPA|LIBERTAD POPULAR	377
EUROPA|PARTIDO APRISTA PERUANO	1344
EUROPA|PARTIDO CÍVICO OBRAS	16571
EUROPA|PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ	107
EUROPA|PARTIDO DEL BUEN GOBIERNO	16667
EUROPA|PARTIDO DEMOCRATICO FEDERAL	80
EUROPA|PARTIDO DEMOCRÁTICO SOMOS PERÚ	827
EUROPA|PARTIDO DEMÓCRATA UNIDO PERÚ	769
EUROPA|PARTIDO DEMÓCRATA VERDE	436
EUROPA|PARTIDO FRENTE DE LA ESPERANZA 2021	1891
EUROPA|PARTIDO MORADO	793
EUROPA|PARTIDO PATRIÓTICO DEL PERÚ	682
EUROPA|PARTIDO PAÍS PARA TODOS	18451
EUROPA|PARTIDO POLÍTICO COOPERACIÓN POPULAR	655
EUROPA|PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA	460
EUROPA|PARTIDO POLÍTICO NACIONAL PERÚ LIBRE	578
EUROPA|PARTIDO POLÍTICO PERÚ ACCIÓN	344
EUROPA|PARTIDO POLÍTICO PERÚ PRIMERO	294
EUROPA|PARTIDO POLÍTICO PRIN	126
EUROPA|PARTIDO SICREO	2043
EUROPA|PERÚ MODERNO	150
EUROPA|PODEMOS PERÚ	414
EUROPA|PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO	6179
EUROPA|PROGRESEMOS	267
EUROPA|RENOVACIÓN POPULAR	27048
EUROPA|SALVEMOS AL PERÚ	103
EUROPA|UN CAMINO DIFERENTE	1384
EUROPA|UNIDAD NACIONAL	844
EUROPA|VOTOS EN BLANCO	24908
EUROPA|VOTOS NULOS	8453
HUANCAVELICA|AHORA NACIÓN - AN	15991
HUANCAVELICA|ALIANZA ELECTORAL VENCEREMOS	1738
HUANCAVELICA|ALIANZA PARA EL PROGRESO	1395
HUANCAVELICA|AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL	106
HUANCAVELICA|FE EN EL PERÚ	337
HUANCAVELICA|FUERZA POPULAR	12222
HUANCAVELICA|FUERZA Y LIBERTAD	334
HUANCAVELICA|JUNTOS POR EL PERÚ	75062
HUANCAVELICA|LIBERTAD POPULAR	186
HUANCAVELICA|PARTIDO APRISTA PERUANO	390
HUANCAVELICA|PARTIDO CÍVICO OBRAS	23410
HUANCAVELICA|PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ	110
HUANCAVELICA|PARTIDO DEL BUEN GOBIERNO	5601
HUANCAVELICA|PARTIDO DEMOCRATICO FEDERAL	235
HUANCAVELICA|PARTIDO DEMOCRÁTICO SOMOS PERÚ	404
HUANCAVELICA|PARTIDO DEMÓCRATA UNIDO PERÚ	3726
HUANCAVELICA|PARTIDO DEMÓCRATA VERDE	891
HUANCAVELICA|PARTIDO FRENTE DE LA ESPERANZA 2021	2429
HUANCAVELICA|PARTIDO MORADO	396
HUANCAVELICA|PARTIDO PATRIÓTICO DEL PERÚ	1580
HUANCAVELICA|PARTIDO PAÍS PARA TODOS	2953
HUANCAVELICA|PARTIDO POLÍTICO COOPERACIÓN POPULAR	2658
HUANCAVELICA|PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA	267
HUANCAVELICA|PARTIDO POLÍTICO NACIONAL PERÚ LIBRE	2436
HUANCAVELICA|PARTIDO POLÍTICO PERÚ ACCIÓN	408
HUANCAVELICA|PARTIDO POLÍTICO PERÚ PRIMERO	1249
HUANCAVELICA|PARTIDO POLÍTICO PRIN	140
HUANCAVELICA|PARTIDO SICREO	2663
HUANCAVELICA|PERÚ MODERNO	64
HUANCAVELICA|PODEMOS PERÚ	5831
HUANCAVELICA|PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO	1793
HUANCAVELICA|PROGRESEMOS	1199
HUANCAVELICA|RENOVACIÓN POPULAR	4074
HUANCAVELICA|SALVEMOS AL PERÚ	309
HUANCAVELICA|UN CAMINO DIFERENTE	210
HUANCAVELICA|UNIDAD NACIONAL	190
HUANCAVELICA|VOTOS EN BLANCO	32865
HUANCAVELICA|VOTOS NULOS	11976
HUÁNUCO|AHORA NACIÓN - AN	20174
HUÁNUCO|ALIANZA ELECTORAL VENCEREMOS	3110
HUÁNUCO|ALIANZA PARA EL PROGRESO	2359
HUÁNUCO|AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL	485
HUÁNUCO|FE EN EL PERÚ	1052
HUÁNUCO|FUERZA POPULAR	52987
HUÁNUCO|FUERZA Y LIBERTAD	444
HUÁNUCO|JUNTOS POR EL PERÚ	102366
HUÁNUCO|LIBERTAD POPULAR	1081
HUÁNUCO|PARTIDO APRISTA PERUANO	1712
HUÁNUCO|PARTIDO CÍVICO OBRAS	48360
HUÁNUCO|PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ	286
HUÁNUCO|PARTIDO DEL BUEN GOBIERNO	15879
HUÁNUCO|PARTIDO DEMOCRATICO FEDERAL	582
HUÁNUCO|PARTIDO DEMOCRÁTICO SOMOS PERÚ	2908
HUÁNUCO|PARTIDO DEMÓCRATA UNIDO PERÚ	2935
HUÁNUCO|PARTIDO DEMÓCRATA VERDE	1793
HUÁNUCO|PARTIDO FRENTE DE LA ESPERANZA 2021	5280
HUÁNUCO|PARTIDO MORADO	998
HUÁNUCO|PARTIDO PATRIÓTICO DEL PERÚ	3677
HUÁNUCO|PARTIDO PAÍS PARA TODOS	19103
